Date,Obligation_5Y
2024-12-04 19:49:22.304623,100.03483570765057
2024-12-05 19:49:22.304623,100.03792356789538
2024-12-06 19:49:22.304623,100.08032406848731
2024-12-09 19:49:22.304623,100.16654476169182
2024-12-10 19:49:22.304623,100.16483424892283
2024-12-11 19:49:22.304623,100.16312458760554
2024-12-12 19:49:22.304623,100.2522303450593
2024-12-13 19:49:22.304623,100.30072408971472
2024-12-16 19:49:22.304623,100.28720985169826
2024-12-17 19:49:22.304623,100.32444448915756
2024-12-18 19:49:22.304623,100.31123087230755
2024-12-19 19:49:22.304623,100.29790303297753
2024-12-20 19:49:22.304623,100.3200669775064
2024-12-23 19:49:22.304623,100.23412878305875
2024-12-24 19:49:22.304623,100.15770437785491
2024-12-25 19:49:22.304623,100.13956143422816
2024-12-26 19:49:22.304623,100.09886315827296
2024-12-27 19:49:22.304623,100.12460094496043
2024-12-30 19:49:22.304623,100.08915563094993
2024-12-31 19:49:22.304623,100.02848640403248
2025-01-01 19:49:22.304623,100.11179256665046
2025-01-02 19:49:22.304623,100.11050231082675
2025-01-03 19:49:22.304623,100.12389350230356
2025-01-06 19:49:22.304623,100.06258022382177
2025-01-07 19:49:22.304623,100.04535031182152
2025-01-08 19:49:22.304623,100.06090349152521
2025-01-09 19:49:22.304623,100.01332485323945
2025-01-10 19:49:22.304623,100.04211358970254
2025-01-13 19:49:22.304623,100.0220732190399
2025-01-14 19:49:22.304623,100.01748751956212
2025-01-15 19:49:22.304623,99.99739867652453
2025-01-16 19:49:22.304623,100.10000991643027
2025-01-17 19:49:22.304623,100.10934438125686
2025-01-20 19:49:22.304623,100.06641194187365
2025-01-21 19:49:22.304623,100.11757314207546
2025-01-22 19:49:22.304623,100.06647094767916
2025-01-23 19:49:22.304623,100.08692771620471
2025-01-24 19:49:22.304623,99.99886772795816
2025-01-27 19:49:22.304623,99.94245906421999
2025-01-28 19:49:22.304623,99.96229070813
2025-01-29 19:49:22.304623,100.00919634267467
2025-01-30 19:49:22.304623,100.02776646434916
2025-01-31 19:49:22.304623,100.03198522130423
2025-02-03 19:49:22.304623,100.02692841961272
2025-02-04 19:49:22.304623,99.96298510580603
2025-02-05 19:49:22.304623,99.93700251637547
2025-02-06 19:49:22.304623,99.92397878762084
2025-02-07 19:49:22.304623,99.9867871149539
2025-02-10 19:49:22.304623,100.01396443804933
2025-02-11 19:49:22.304623,99.93580151679248
2025-02-12 19:49:22.304623,99.96198889256428
2025-02-13 19:49:22.304623,99.95273829613468
